Name,System,Neurotransmitter,ConfidenceInNeuroTransmitter,Type_Main,Type_Class,Type_Full
RICL,Somatic,Octapamine,1,Interneuron,Single,Interneuron
RICR,Somatic,Octapamine,1,Interneuron,Single,Interneuron
RID,Somatic,GABA,1,Interneuron,Single,Interneuron
RIFL,Somatic,Glutamate,0.3,Interneuron,Single,Interneuron
RIFR,Somatic,Glutamate,0.3,Interneuron,Single,Interneuron
RIGL,Somatic,FRMFemide,1,Interneuron,Single,Interneuron
RIGR,Somatic,FRMFemide,1,Interneuron,Single,Interneuron
RIH,Somatic,Serotonin,1,Interneuron,Single,Interneuron
RIML,Somatic,"Acetylcholine, Tyramine",1,Motor Neuron,Single,Ring motor neuron
RIMR,Somatic,"Acetylcholine, Tyramine",1,Motor Neuron,Single,Ring motor neuron
RIPL,Somatic,Serotonin,0.2,Interneuron,Single,Ring/Pharynx interneuron
RIPR,Somatic,Serotonin,0.2,Interneuron,Single,Ring/Pharynx interneuron
RIR,Somatic,-,0.2,Interneuron,Single,Ring interneuron
RIS,Somatic,GABA,1,Interneuron,Single,Interneuron
RIVL,Somatic,GABA,0.4,Interneuron,Multiple,Polymodal (interneuron/motor neuron)
RIVR,Somatic,GABA,0.4,Interneuron,Multiple,Polymodal (interneuron/motor neuron)
RMDDL,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMDDR,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMDL,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMDR,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMDVL,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMDVR,Somatic,Acetylcholine,1,Motor Neuron,Single,Ring motor neuron
RMED,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
RMEL,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
RMER,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
RMEV,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
RMFL,Somatic,Glutamate,1,Motor Neuron,Single,Motor neuron
RMFR,Somatic,Glutamate,1,Motor Neuron,Single,Motor neuron
RMGL,Somatic,FRMFemide,1,Interneuron,Single,Interneuron
RMGR,Somatic,FRMFemide,1,Interneuron,Single,Interneuron
RMHL,Somatic,Glutamate,0.5,Motor Neuron,Single,Motor neuron
RMHR,Somatic,Glutamate,0.5,Motor Neuron,Single,Motor neuron
SAADL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SAADR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SAAVL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SAAVR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SABD,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SABVL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SABVR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SDQL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SDQR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIADL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIADR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIAVL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIAVR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIBDL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIBDR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIBVL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SIBVR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
SMBDL,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMBDR,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMBVL,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMBVR,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMDDL,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMDDR,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMDVL,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
SMDVR,Somatic,Acetylcholine,1,Motor Neuron,Multiple,Motor neuron/interneuron
URADL,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
URADR,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
URAVL,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
URAVR,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
URBL,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
URBR,Somatic,Acetylcholine,1,Interneuron,Single,Interneuron
URXL,Somatic,Glutamate,0.4,Sensory Neuron,Multiple,"Sensory neuron (oxygen sensor), also ring interneuron"
URXR,Somatic,Glutamate,0.4,Sensory Neuron,Multiple,"Sensory neuron (oxygen sensor), also ring interneuron"
URYDL,Somatic,Glutamate,0.7,Sensory Neuron,Single,Sensory neuron
URYDR,Somatic,Glutamate,0.7,Sensory Neuron,Single,Sensory neuron
URYVL,Somatic,Glutamate,0.6,Sensory Neuron,Single,Sensory neuron
URYVR,Somatic,Glutamate,0.6,Sensory Neuron,Single,Sensory neuron
VA1,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA10,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA11,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA12,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA2,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA3,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA4,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA5,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA6,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA7,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA8,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VA9,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB1,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB10,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB11,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB2,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB3,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB4,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB5,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB6,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB7,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB8,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VB9,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
VC1,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VC2,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VC3,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VC4,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VC5,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VC6,Somatic,"Serotonin, Acetylcholine",1,Motor Neuron,Single,Motor neuron (Hermaphrodite specific)
VD1,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD10,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD11,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD12,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD13,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD2,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD3,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD4,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD5,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD6,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD7,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD8,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
VD9,Somatic,GABA,1,Motor Neuron,Single,Motor neuron
